Shakespeare Word Frequency Analysis
===================================
Total words (excluding stopwords): 820020
Unique words (excluding stopwords): 29407
Total stopwords filtered: 1224

Top 200 Most Frequent Words (After Stopwords Removal):
Rank   Word                 Frequency  Percentage
------------------------------------------------
1      thy                  4157       0.5069%
2      thee                 3266       0.3983%
3      good                 2784       0.3395%
4      lord                 2719       0.3316%
5      sir                  2504       0.3054%
6      love                 2067       0.2521%
7      enter                2033       0.2479%
8      hath                 1963       0.2394%
9      man                  1791       0.2184%
10     king                 1523       0.1857%
11     'tis                 1376       0.1678%
12     speak                1148       0.1400%
13     doth                 1065       0.1299%
14     time                 1063       0.1296%
15     exeunt               1035       0.1262%
16     heart                1020       0.1244%
17     exit                 946        0.1154%
18     art                  937        0.1143%
19     death                893        0.1089%
20     hear                 882        0.1076%
21     men                  874        0.1066%
22     great                871        0.1062%
23     life                 860        0.1049%
24     hand                 858        0.1046%
25     father               828        0.1010%
26     sweet                804        0.0980%
27     true                 796        0.0971%
28     fair                 794        0.0968%
29     master               765        0.0933%
30     eyes                 755        0.0921%
31     god                  744        0.0907%
32     pray                 733        0.0894%
33     day                  722        0.0880%
34     night                684        0.0834%
35     lady                 668        0.0815%
36     fear                 664        0.0810%
37     blood                654        0.0798%
38     leave                651        0.0794%
39     poor                 643        0.0784%
40     heaven               629        0.0767%
41     --                   609        0.0743%
42     honour               609        0.0743%
43     noble                607        0.0740%
44     hast                 603        0.0735%
45     son                  592        0.0722%
46     grace                569        0.0694%
47     dead                 568        0.0693%
48     bear                 556        0.0678%
49     stand                556        0.0678%
50     duke                 551        0.0672%
51     peace                540        0.0659%
52     live                 527        0.0643%
53     brother              522        0.0637%
54     queen                520        0.0634%
55     head                 516        0.0629%
56     word                 498        0.0607%
57     die                  493        0.0601%
58     madam                470        0.0573%
59     friends              466        0.0568%
60     set                  466        0.0568%
61     eye                  460        0.0561%
62     hold                 460        0.0561%
63     thine                458        0.0559%
64     face                 458        0.0559%
65     long                 457        0.0557%
66     soul                 447        0.0545%
67     bring                445        0.0543%
68     wife                 442        0.0539%
69     dost                 437        0.0533%
70     dear                 437        0.0533%
71     lords                428        0.0522%
72     mistress             427        0.0521%
73     young                425        0.0518%
74     stay                 421        0.0513%
75     place                418        0.0510%
76     friend               417        0.0509%
77     tongue               413        0.0504%
78     prince               408        0.0498%
79     daughter             405        0.0494%
80     house                402        0.0490%
81     thought              389        0.0474%
82     fool                 388        0.0473%
83     gentle               378        0.0461%
84     mind                 375        0.0457%
85     boy                  374        0.0456%
86     caesar               372        0.0454%
87     o'                   372        0.0454%
88     ere                  371        0.0452%
